,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Sex,Order
FEDXA07,283,269,193,177,189,181,165,182,205,189,142,167,168,188,198,201,196,M,NRPR
FEDXA08,305,233,223,168,208,208,170,162,182,182,133,149,151,150,174,145,165,M,NRPR
FEDXA09,302,192,191,163,167,178,192,197,193,211,151,188,201,211,242,255,176,M,NRPR
FEDXA10,199,267,214,171,200,214,205,208,207,187,153,160,193,187,192,189,200,M,NRPR
FEDXA11,307,249,226,204,164,197,208,195,183,188,149,84,211,234,225,251,231,M,NRPR
FEDXA12,237,201,224,197,198,191,188,192,215,217,169,239,257,261,244,217,233,M,NRPR
FEDXA01,340,271,224,161,155,176,184,215,231,240,246,234,222,211,241,223,219,M,PRNR
FEDXA02,304,214,194,154,153,204,211,203,226,214,225,171,195,172,182,175,181,M,PRNR
FEDXA03,244,243,206,147,149,171,247,293,280,318,352,351,279,288,251,222,228,M,PRNR
FEDXA04,282,267,201,164,144,168,176,252,272,305,293,267,240,210,239,239,215,M,PRNR
FEDXA05,227,236,227,154,167,204,220,253,249,279,267,259,254,267,238,239,219,M,PRNR
FEDXA06,220,337,7,215,180,199,202,224,215,240,228,211,184,204,193,177,187,M,PRNR
FEDXB07,300,206,257,207,190,216,196,224,210,190,147,219,265,255,288,285,291,F,NRPR
FEDXB08,161,250,175,178,183,192,173,172,211,181,149,210,176,175,182,219,188,F,NRPR
FEDXB10,254,211,217,164,177,226,212,235,235,225,212,270,241,192,172,221,242,F,NRPR
FEDXB11,272,229,245,160,165,178,185,201,190,171,143,187,129,137,140,177,183,F,NRPR
FEDXB12,225,233,219,171,193,182,184,220,189,174,153,194,177,176,184,224,201,F,NRPR
FEDXB01,206,282,251,98,154,219,232,244,255,185,245,214,168,158,148,215,221,F,PRNR
FEDXB02,232,233,185,213,232,272,150,185,192,167,184,199,153,148,118,192,198,F,PRNR
FEDXB03,86,235,198,131,145,220,220,254,284,207,240,239,232,188,182,168,173,F,PRNR
FEDXB04,157,182,194,97,156,200,197,191,206,216,233,245,206,190,164,199,178,F,PRNR
FEDXB05,301,210,176,155,158,203,203,203,250,222,237,218,210,187,158,208,223,F,PRNR
FEDXB06,335,198,226,134,138,212,208,216,203,168,138,313,237,239,245,335,305,F,PRNR
