"","contrast","estimate","SE","df","t.ratio","p.value"
"1","NR0 F Order1 - NR1 F Order1",-8.1446551062644,3.79317502150596,19,-2.14718673936401,1
"2","NR0 F Order1 - NR2 F Order1",0.272104827591092,0.105471028679764,19,2.5799011443917,1
"3","NR0 F Order1 - NR3 F Order1",0.171307351790108,0.315064492514825,19,0.543721542287242,1
"4","NR0 F Order1 - NR4 F Order1",0.238900023707868,0.112315186442101,19,2.12705005685961,1
"5","NR0 F Order1 - NR5 F Order1",0.138530255127788,0.167497204569332,19,0.827060102190816,1
"6","NR0 F Order1 - NR6 F Order1",0.120589477021036,0.161522930699089,19,0.746578064793101,1
"7","NR0 F Order1 - PR0 F Order1",-7.91935940452723,3.97629840591233,19,-1.99164111847139,1
"8","NR0 F Order1 - PR1 F Order1",-6.40845652208123,10.1256699140073,19,-0.632892102597192,1
"9","NR0 F Order1 - PR2 F Order1",-7.76257866826698,5.02798589042069,19,-1.54387439373214,1
"10","NR0 F Order1 - PR3 F Order1",-6.42134567211678,3.09582177091667,19,-2.07419746590109,1
"11","NR0 F Order1 - PR4 F Order1",0.306491915315063,4.94448574939785,19,0.0619866111157035,1
"12","NR0 F Order1 - PR5 F Order1",0.281087865072849,4.08868969829922,19,0.0687476638762226,1
"13","NR0 F Order1 - PR6 F Order1",-5.50135000027613,4.80691357239265,19,-1.14446617718942,1
"14","NR0 F Order1 - NR0 M Order1",0.228044562200088,0.162977661174054,19,1.39923815667318,1
"15","NR0 F Order1 - NR1 M Order1",0.288616142661834,3.45081826630626,19,0.0836370160317854,1
"16","NR0 F Order1 - NR2 M Order1",0.362527645879808,0.139445838842986,19,2.59977385404816,1
"17","NR0 F Order1 - NR3 M Order1",0.316485799184466,0.312237922910078,19,1.01360461354213,1
"18","NR0 F Order1 - NR4 M Order1",0.327106653275681,0.146861607625451,19,2.2273122197458,1
"19","NR0 F Order1 - NR5 M Order1",0.355650588566526,0.167043442584424,19,2.12909039148172,1
"20","NR0 F Order1 - NR6 M Order1",0.146989478844092,0.168306501164946,19,0.8733440349998,1
"21","NR0 F Order1 - PR0 M Order1",0.0758664833161635,3.62092695526042,19,0.0209522269445248,1
"22","NR0 F Order1 - PR1 M Order1",0.229005437651292,9.24609545115917,19,0.0247677994306864,1
"23","NR0 F Order1 - PR2 M Order1",0.415619896509596,4.59443916176144,19,0.0904615083313572,1
"24","NR0 F Order1 - PR3 M Order1",0.297330235886162,2.80895695751739,19,0.105850762536763,1
"25","NR0 F Order1 - PR4 M Order1",0.158367100885069,4.4776004785628,19,0.0353687430674702,1
"26","NR0 F Order1 - PR5 M Order1",0.297324018639224,3.74432150039526,19,0.0794066478019684,1
"27","NR0 F Order1 - PR6 M Order1",0.291811918698206,4.34431772762129,19,0.0671709430557662,1
"28","NR0 F Order1 - NR0 F Order2",0.261064912013519,0.162977661174054,19,1.60184475671615,1
"29","NR0 F Order1 - NR1 F Order2",0.151839030779112,3.45081826630626,19,0.0440008772011166,1
"30","NR0 F Order1 - NR2 F Order2",0.373334752864161,0.139445838842986,19,2.67727424469461,1
"31","NR0 F Order1 - NR3 F Order2",-0.442347096772152,0.312237922910078,19,-1.41669881944335,1
"32","NR0 F Order1 - NR4 F Order2",0.096659053414887,0.146861607625451,19,0.658164206273715,1
"33","NR0 F Order1 - NR5 F Order2",0.19537481716054,0.167043442584424,19,1.16960482936525,1
"34","NR0 F Order1 - NR6 F Order2",0.231123926056127,0.168306501164946,19,1.37323231400086,1
"35","NR0 F Order1 - PR0 F Order2",-1.85673094375528,3.62092695526042,19,-0.512777796044148,1
"36","NR0 F Order1 - PR1 F Order2",-12.4953614085132,9.24609545115916,19,-1.35142033461775,1
"37","NR0 F Order1 - PR2 F Order2",-5.69736911594856,4.59443916176144,19,-1.24005758164491,1
"38","NR0 F Order1 - PR3 F Order2",0.285827010783678,2.80895695751739,19,0.101755568029885,1
"39","NR0 F Order1 - PR4 F Order2",-5.31063311868706,4.4776004785628,19,-1.18604443252866,1
"40","NR0 F Order1 - PR5 F Order2",-11.1541836045484,3.74432150039525,19,-2.97895990057771,1
"41","NR0 F Order1 - PR6 F Order2",0.166102332767257,4.34431772762129,19,0.038234388730634,1
"42","NR0 F Order1 - NR0 M Order2",-0.263630684051839,0.162977661174054,19,-1.61758784702581,1
"43","NR0 F Order1 - NR1 M Order2",-0.0602902957145508,3.45081826630626,19,-0.0174713042130397,1
"44","NR0 F Order1 - NR2 M Order2",0.120203836869257,0.139445838842986,19,0.862010927444059,1
"45","NR0 F Order1 - NR3 M Order2",-0.0640316255175644,0.312237922910078,19,-0.205073185604059,1
"46","NR0 F Order1 - NR4 M Order2",0.0980677009374407,0.146861607625451,19,0.667755872505139,1
"47","NR0 F Order1 - NR5 M Order2",0.164420583355604,0.167043442584424,19,0.984298340669707,1
